CustomerID,Age,Gender,TenureMonths,Contract,InternetService,PaymentMethod,TechSupport,OnlineSecurity,PaperlessBilling,MonthlyCharges,TotalCharges,SeniorCitizen,Churn
CUST100001,23,Female,57,One year,Fiber optic,Bank transfer,Yes,No,Yes,98.41,5604.35,0,0
CUST100002,62,Male,49,Month-to-month,DSL,Electronic check,No,No,Yes,53.12,2206.83,1,1
CUST100003,55,Female,67,Month-to-month,DSL,Bank transfer,No,No,Yes,20.0,1049.67,0,0
CUST100004,43,Female,70,Two year,DSL,Electronic check,No,Yes,Yes,27.83,1667.71,0,0
CUST100005,43,Male,51,Month-to-month,Fiber optic,Credit card,No,Yes,Yes,107.54,5675.57,0,1
CUST100006,67,Male,27,Month-to-month,DSL,Credit card,Yes,Yes,Yes,61.97,1734.53,1,1
CUST100007,22,Male,44,One year,DSL,Electronic check,No,No,No,53.23,2494.89,0,1
CUST100008,58,Male,31,Month-to-month,Fiber optic,Credit card,Yes,Yes,No,113.07,3045.26,0,0
CUST100009,29,Male,46,Two year,Fiber optic,Credit card,No,No,Yes,103.63,4396.09,0,0
CUST100010,23,Male,59,Month-to-month,Fiber optic,Mailed check,No,No,Yes,72.61,4449.79,0,1
CUST100011,48,Male,27,Month-to-month,Fiber optic,Electronic check,No,No,Yes,64.66,1051.15,0,1
CUST100012,74,Male,37,Month-to-month,Fiber optic,Credit card,No,No,No,68.7,2848.06,1,1
CUST100013,60,Male,4,One year,No,Mailed check,No,Yes,Yes,77.68,50.0,1,0
CUST100014,62,Male,54,One year,DSL,Electronic check,Yes,Yes,Yes,112.0,6258.84,1,0
CUST100015,59,Male,36,Month-to-month,DSL,Bank transfer,No,No,Yes,82.56,2750.01,0,0
CUST100016,63,Male,34,Month-to-month,Fiber optic,Mailed check,Yes,No,No,90.15,3327.33,1,0
CUST100017,47,Female,39,Month-to-month,DSL,Electronic check,No,No,Yes,101.23,4750.01,0,0
CUST100018,25,Female,16,One year,DSL,Credit card,No,No,No,42.76,115.87,0,1
